fid,qc_id,corrltv,prd_fsc,ciclo,entidad,redi,estado,municip,parroqu,categor,subctgr,mnt_pry,fech_nc,cotizcn,mnt_pr_,nmbr_pr,dscrpc_,estts_p,huso_nc,hus_fnl,crd_nr_,crd_st_,tipo_br,cntdd__,undd_br,mtrls_c,mtrl_tp,mtrl_cn,clsfccn,motivo,longitd,latitud,nrmlzd_,ctgrs_m,icon_url
"11","10",PI-2022-C-12-E-240-00038460,2022,C12,ALCALDÍA DE RAFAEL URDANETA (EDO. TÁCHIRA),Los Andes,Táchira,Rafael Urdaneta,Capital Rafael Urdaneta,Vialidad,Rural,98338.9221556886,2022/10/19,8.35,98338.9221556886,"Mantenimiento, Rehabilitación, Motonivelación, Engranzonado y despeje de cunetas de vía Local 009 desde la Aldea Aguaditas hasta la Aldea el Tabor de la Parroquia Capital Rafael Urdaneta del Municipio Rafael Urdaneta del Estado Táchira.","DEFORESTACION LIVIANA Y LIMPIEZA(RASTROJOS, M2 7.000,00 VEGETACION BAJA EN GENERAL), CONSTRUCCION DE CUNETAS EN TIERRA 2.100m3;  CONFORMACION Y COMPACTACION CON EQUIPO MECANICO DEL MATERIAL PROVENIENTE DE LAS EXCAVACIONES O PREPARACION DEL SITIO.DE LA SU",Culminado,"18","18","831148","779091",Rehabilitación o Mejora,73500,m2,Si,Granzon  M3,"315",heterogeneo_asf,Por descripción,-72.4536189134024,7.55332544371518,0.501351325171346,"2",./0.png
"12","11",PI-2022-C-13-E-357-00038602,2022,C13,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,García De Hevia,Capital García De Hevia,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",23286.2180143296,2022/11/17,9.77,23286.2180143296,"Rehabilitación de La Av. Aeropuerto desde El Portal Entrada a La Fría hasta la carrera 00, Parroquia La Fría, Municipio García de Hevia, Estado Táchira.","El proyecto contempla la colocación de material tipo rc2 mezcla asfáltica en caliente para la colocación en sitio de 461 toneladas,  para beneficiar a una población de 48.475.",Culminado,"18","18","907631","803098",Rehabilitación o Mejora,691,m2,Si,Mezcla Asfáltica Iii (Toneladas ),"461",heterogeneo_asf,Elementos no asfalticos,-72.25157920715,8.22698124205979,-0.597032000324735,"1",./0.png
"13","12",PI-2022-C-3-E-127-00036484,2022,C3,ALCALDÍA DE INDEPENDENCIA (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Nuevo,Capacho Nuevo,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),11034.3119266055,2022/03/28,4.36,11034.3119266055,"Rehabilitacion de la vialidad de la calle 1ero de Mayo, sector los Guasimitos, Parroquia Capital, Municipio Independencia, Capacho Nuevo, Estado Tachira","Compactacion de relleno, con apisonadores de percucion, correspondiente a la preparacion del sitio, relleno con material de filtro,  construccion  de 30 metros lineales de pavimento con concreto armado  y micro fibra 3D",Culminado,"18","18","864237","801024",Rehabilitación o Mejora,30,Metros,Si,Arana,"1",heterogeneo_asf,Elementos no asfalticos,-72.2715172145241,7.80922862262096,-0.776336523809375,"1",./0.png
"14","13",PI-2022-C-3-E-140-00036482,2022,C3,ALCALDÍA DE JOSÉ MARÍA VARGAS (EDO. TÁCHIRA),Los Andes,Táchira,José María Vargas,José María Vargas,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",17813.128440367,2022/03/28,4.36,17813.128440367,REHABILITACIÓN DE LA VIA TRONCAL T0O7 DESDE EL SECTOR ANATOLIO PEREZ HASTA EL SECTOR LA ESCUELA  DE LA ALDEA ANGOSTURA DEL  MUNICIPIO DR. JOSE MARIA VARGAS DEL ESTADO TACHIRA,"Este Proyecto contempla la Rehabilitación de la via troncal TOO7 que comunica al Cobre con la Grita específicamente desde el Sector Anatolio Perez hasta el sector la Escuela de la Aldea Angostura del Municipio Jose Maria Vargas del Estado Tachira, este",Culminado,"18","18","892736","825875",Rehabilitación o Mejora,200,Metros,,,,heterogeneo_asf,Elementos no asfalticos,-72.0479977898303,8.05596122851916,-0.677129718265243,"1",./0.png
"15","14",PI-2022-C-3-E-52-00036578,2022,C3,ALCALDÍA DE BOLÍVAR (EDO. TÁCHIRA),Los Andes,Táchira,Bolívar,Bolívar,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",9046.18577981651,2022/03/28,4.36,9046.18577981651,"Bacheo de la Capa Asfaltica de la vía principal de San Antonio del Tachira desde la Alcabala de Peracal hasta Palotal, del Municipio Bolívar del estado Tachira",Colocación de 20 Toneladas de Asfalto Caliente para el bacheo en la vía principal de San Antonio del Tachira,Culminado,"18","18","869360","781982",Rehabilitación o Mejora,20,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,-72.4320577897597,7.79301972897213,-0.805432405611353,"1",./0.png
"16","15",PI-2022-C-4-E-112-00036937,2022,C4,ALCALDÍA DE GARCÍA DE HEVIA (EDO. TÁCHIRA),Los Andes,Táchira,García De Hevia,Capital García De Hevia,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",74050.5333333333,2022/05/02,4.5,74050.5333333333,"REHABILITACION Y EMBELLECIMIENTO CON ASFALTADO EN LA TRONCAL 001 DESDE LA CRUZ DE LA MISION HASTA LA CALLE 04 DEL SECTOR LOS CEDROS, LA FRIA MUNICIPIO GARCIA DE HEVIA, LA FRIA ESTADO TACHIRA",REHABILITACION DE 350 MTS. DE LA VIALIDAD TRONCAL 001 CON MEZCLA ASFALTICA EN CALIENTE PARA COLOCACION CARPETA CORRIDA CON MAQUINARIA PESADA,Culminado,"18","18","907575","803285",Rehabilitación o Mejora,350,Metros,Si,Mezcla Asfáltica Caliente (Ton),"770",heterogeneo_asf,Elementos no asfalticos,-72.2473006756842,8.20298107392284,0.145894961661865,"2",./0.png
"17","16",PI-2022-C-4-E-172-00036947,2022,C4,ALCALDÍA DE MACHIQUES DE PERIJÁ (EDO. ZULIA),Occidental,Zulia,Machiques De Perijá,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),50780.8888888889,2022/05/02,4.5,50780.8888888889,"Rehabilitación de la vialidad con bacheo, en la Av. Santa Teresa entre; calle La Marina y La Florida. Sector Casco Central. Parroquia Libertad, Municipio Machiques de Perija, Edo Zulia.","Bacheo de la vialidad, utilizando mezcla asfáltica en caliente tipo III (120-150), con RC-250 .",Culminado,"18","18","1112977","768796",Rehabilitación o Mejora,230,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,-72.5578418487911,10.0599344222867,-0.194652254329992,"1",./0.png
"18","17",PI-2022-C-4-E-357-00036772,2022,C4,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Guásimos,Capital Guásimos,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",301546.047404063,2022/04/21,4.43,301546.047404063,"REHABILITACIÓN DE CARPETA ASFÁLTICA DESDE LA FABRICA NACIONAL DE CEMENTOS HACIA COPA DE ORO, PARROQUIA CAPITAL, MUNICIPIO GUASIMOS ESTADO TÁCHIRA
","SE PREVÉ LA EJECUCIÓN DE UNA SERIE DE ACTIVIDADES ENMARCADAS EN LA REHABILITACIÓN DE LA CARPETA ASFÁLTICA DE 0.30 KILÓMETROS DE 
VIALIDAD, ENTRE LAS CUALES DESTACAN: BACHEO LOCALIZADO CON MEZCLAS ASFÁLTICAS EN CALIENTE, BENEFICIANDO UNA POBLACIÓN",Culminado,"18","18","867068","803415",Rehabilitación o Mejora,300,Metros,,,,heterogeneo_asf,Elementos no asfalticos,-72.2567018788492,7.86343650419453,3.47525240639582,"3",./3.png
"19","18",PI-2022-C-4-E-68-00036941,2022,C4,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),6663.48888888889,2022/05/02,4.5,6663.48888888889,"BACHEO EN CALLE 14 DESDE ALDEA UNIVERSITARIA HASTA LA CARRERA 16, MUNICIPIO CÁRDENAS, ESTADO TACHIRA",COLOCACIÓN DE 50 TONELADAS DE MEZCLA ASFÁLTICA EN CALIENTE EN BACHEO EN 1054 ML DE CALLE UTILIZANDO RC2 Y EQUIPO LIVIANO,Culminado,"18","18","866469","806309",Rehabilitación o Mejora,1054,Metros,Si,Mezcla  Asfáltica En  Caliente,"50",heterogeneo_asf,Elementos no asfalticos,-72.2175164241272,7.82325159634729,-0.840302761911601,"1",./0.png
"20","19",PI-2022-C-4-E-68-00036944,2022,C4,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),6666.62222222222,2022/05/02,4.5,6666.62222222222,"BACHEO EN CALLE 7  DE TARIBA DESDE AVENIDA 1 HASTA BARRIO ZULIA, MUNICIPIO CÁRDENAS , ESTADO TACHIRA",COLOCACIÓN DE 50 TONELADAS DE MEZCLA ASFÁLTICA EN CALIENTE EN BACHEO EN 900 MIL DE LA CALLE UTILIZANDO RC2 Y EQUIPO LIVIANO,Culminado,"18","18","865826","806009",Rehabilitación o Mejora,900,Metros,Si,Mezcla  Asfáltica En  Caliente,"50",heterogeneo_asf,Elementos no asfalticos,-72.221756963912,7.81635849300719,-0.840256906120981,"1",./0.png
"21","20",PI-2022-C-4-E-68-00036948,2022,C4,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),3530.06666666667,2022/05/02,4.5,3530.06666666667,"CONSTRUCCIÓN DE 6 PAÑOS DE CONCRETO EN CUESTA LA MOLINA, MUNICIPIO CÁRDENAS, ESTADO TACHIRA","CONSTRUCCIÓN DE 6 PAÑOS DE 3*3 M2*0.12M ESPESOR DE PAVIMENTO RÍGIDO UTILIZANDO CONCRETO 210KG/M2 Y MALLA ELECTROSOLDADA 6*6, UTILIZANDO EQUIPO LIVIANO Y HERRAMIENTAS MENORES EN UN TRAMO DE 150ML",Culminado,"18","18","865845","807765",Construcción Inicial,150,Metros,Si,Cemento,"44",heterogeneo_asf,Elementos no asfalticos,-72.2112942464052,7.82292137222819,-0.886159853404873,"1",./0.png
"22","21",PI-2022-C-4-E-68-00036949,2022,C4,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),5530.06666666667,2022/05/02,4.5,5530.06666666667,"CONSTRUCCIÓN DE 10 PAÑOS DE CONCRETO EN CUESTA LA MOLINERA , MUNICIPIO CÁRDENAS, ESTADO TACHIRA","CONSTRUCCIÓN DE 10  PAÑOS DE 3*3 M2 * 0.12 M ESPESOR  DE  PAVIMENTO RÍGIDO UTILIZANDO CONCRETO 210 KG/M2 Y MALLA ELECTROSOLDADA 6*6, UTILIZANDO EQUIPO LIVIANO Y HERRAMIENTAS MENORES EN UN TRAMO DE 850ML",Culminado,"18","18","865103","808129",Construcción Inicial,850,Metros,Si,Cemento,"72",heterogeneo_asf,Elementos no asfalticos,-72.2111589502036,7.82283012518765,-0.85689019981778,"1",./0.png
"23","22",PI-2022-C-4-E-68-00036955,2022,C4,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),4418.26666666667,2022/05/02,4.5,4418.26666666667,"CONSTRUCCIÓN DE PAVIMENTO RÍGIDO EN LA CALLE PRINCIPAL DE LA ESCUELA NACIONAL PEDRO LEÓN ZAPATA, SECTOR CAPACHITO PARTE ALTA, MUNICIPIO CÁRDENAS, ESTADO TACHIRA","COLOCACIÓN DE 90 M2 DE PAVIMENTO RÍGIDO UTILIZANDO CONCRETO 210KG/ M2 Y MALLA ELECTROSOLDADA 6*6, UTILIZANDO EQUIPO LIVIANO Y HERRAMIENTAS MENORES DE 200ML",Culminado,"18","18","865609","810459",Rehabilitación o Mejora,200,Metros,Si,Agregados,"7",heterogeneo_asf,Elementos no asfalticos,-72.1848882558219,7.82094797679768,-0.873161200246845,"1",./0.png
"24","23",PI-2022-C-6-E-15-00037500,2022,C6,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Los Andes,Táchira,Andrés Bello,Capital Andrés Bello,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),18805.7447619048,2022/06/09,5.25,18805.7447619048,REHABILITACION DE LA CAPA ASFALTICA DE LA AVENIDA CRISTOBAL MENDOZA DE CORDERO MUNICIPIO ANDRES BELLO DEL ESTADO TACHIRA,"SE REALIZARA BACHEO, DEMARCACION Y SEÑALIZACION DE LA AVENIDA CRISTOBAL MENDOZA DE CORDERO EN UN TRAMO DE 1500 METROS",Culminado,"18","18","869469","812115",Rehabilitación o Mejora,1500,Metros,Si,Asfalto Caliente,"20",heterogeneo_asf,Elementos no asfalticos,-72.1844507059194,7.85367900817469,-0.662602950327091,"1",./0.png
"25","24",PI-2022-C-6-E-15-00037503,2022,C6,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Los Andes,Táchira,Andrés Bello,Capital Andrés Bello,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),15793.380952381,2022/06/09,5.25,15793.380952381,REHABILITACION DE LA CAPA ASFALTICA DE LA CALLE PRINCIPAL DE CORDERO MUNICIPIO ANDRES BELLO DEL ESTADO TACHIRA,"SE REALIZARA BACHEO, DEMARCACION Y SEÑALIZACION ENLA CALLE PRINCIPAL DE CORDERO EN UN TRAMO DE 1000 METROS",Culminado,"18","18","869627","811879",Rehabilitación o Mejora,1000,Metros,Si,Asfalto Caliente,"16",heterogeneo_asf,Elementos no asfalticos,-72.1845509166433,7.85359836437869,-0.70668837291862,"1",./0.png
"26","25",PI-2022-C-6-E-15-00037507,2022,C6,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Los Andes,Táchira,Andrés Bello,Capital Andrés Bello,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),13686.5885714286,2022/06/09,5.25,13686.5885714286,"REHABILITACION DE LA CAPA ASFALTICA DE LA AVENIDA BOLIVAR DE CORDERO, MUNICIPIO ANDRES BELLO DEL ESTADO TACHIRA","SE RELIZARA BACHEO, DEMARCACION Y SEÑALIZACION DE LA AVENIDA BOLIVAR DE CORDERO EN UN TRAMO DE 800 METROS",Culminado,"18","18","869665","811216",Rehabilitación o Mejora,800,Metros,Si,Asfalto Caliente,"18",heterogeneo_asf,Elementos no asfalticos,-72.1841590728909,7.85393003468329,-0.737520914503821,"1",./0.png
"27","26",PI-2022-C-8-E-226-00037770,2022,C8,ALCALDÍA DE PEDRO MARÍA UREÑA (EDO. TÁCHIRA),Los Andes,Táchira,Pedro María Ureña,Pedro María Ureña,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),29623.6749116608,2022/07/14,5.66,29623.6749116608,"MANTENIMIENTO Y MEJORAMIENTO DE LA VIALIDAD DESDE EL ARCO DE TIENDITAS HASTA, LA VÍA COLON CON CALLE 7 DEL MUNICIPIO PEDRO MARÍA UREÑA ESTADO TÁCHIRA.","LA EJECUCIÓN DE ESTA OBRA TENDRÁ COMO OBJETIVO PRINCIPAL, LA RECUPERACIÓN DE LA MALLA VIAL DE LAS VÍAS DE ACCESO Y SALIDA REALIZANDO TRABAJOS DE BACHEO DESDE EL ARCO DE TIENDITAS HASTA, LA VÍA COLON CON CALLE 7 DEL MUNICIPIO PEDRO MARÍA UREÑA ESTA",Culminado,"18","18","876963","783065",Rehabilitación o Mejora,13800,Metros,Si,Asfalto,"450",heterogeneo_asf,Elementos no asfalticos,-72.441166537175,7.86686103946818,-0.504284416320727,"1",./0.png
"28","27",PI-2022-C-9-E-124-00038050,2022,C9,ALCALDÍA DE GUÁSIMOS (EDO. TÁCHIRA),Los Andes,Táchira,Guásimos,Capital Guásimos,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),108154.362416107,2022/08/17,5.96,108154.362416107,"CONSTRUCCION EMPALME VIAL AVENIDA CIRCUNVALACION ENTRE TOICO PARTE CENTRAL Y AUTOPISTA  SAN CRISTOBAL LA FRIA, MUNICIPIO GUASIMOS, ESTADO TACHIRA I ETAPA","Rehabilitación de la 1ra etapa, empalme vial entre el sector toico parte central y autopista san Cristóbal la fría, dicho empalme cuenta con trabajos previos (cajón paso de agua), area aprox 4000 m2, actividades previstas, deforestación, nivelación",Culminado,"18","18","865833","804745",Rehabilitación o Mejora,4000,m2,Si,Cuartones 5x 10cm 4 Usos Por M3,"8",heterogeneo_asf,Elementos no asfalticos,-72.2362160114137,7.82751277816286,0.644998593284977,"2",./1.png
"29","28",PI-2022-C-9-E-150-00037974,2022,C9,ALCALDÍA DE JUNÍN (EDO. TÁCHIRA),Los Andes,Táchira,Junín,Junín,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),58993.288590604,2022/08/16,5.96,58993.288590604,"REHABILITACION Y MEJORA DE LA CAPA ASFALTICA DE LA AV 13 SECTOR SAN MARTIN, DE LA PARROQUIA JUNIN MUNICIPIO JUNIN",REHABILITACION Y MEJORA DE 265 METROS DE CAPA ASFALTICA DE LA AV 13 SECTOR SAN MARTIN DESDE EL PUENTE DE SAN DIEGO HASTA EL MERCADO LOS PARRILLEROS,Culminado,"18","18","851950","791295",Rehabilitación o Mejora,1325,m2,Si,Asfalto Caliente Por Tonelada,"750",carpeta,Elementos no asfalticos,-72.3607334500843,7.70093443167763,-0.074465207136018,"1",./0.png
"30","29",PI-2022-C-9-E-249-00037994,2022,C9,ALCALDÍA DE ROSARIO DE PERIJÁ (EDO. ZULIA),Occidental,Zulia,Rosario De Perijá,El Rosario,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),117986.577181208,2022/08/16,5.96,117986.577181208,"REHABILITACIÓN INTEGRAL DE LA VIA PRINCIPAL DEL SECTOR SAN ANDRÉS.(CALLE 19),PARROQUIA EL ROSARIO.MUNICIPIO ROSARIO DE PERIJÁ. ESTADO ZULIA.","Consiste en la Rehabilitación 230ml de pavimento de concreto de 250kg/cm3 con un espesor constante de 15cm y un ancho promedio de la calzada de 7.35mts. Incluye Aceras , brocales, cunetas, Señalización  y Demarcación, Transporte para maquinaria pesad",Culminado,"18","18","1143805","793737",Rehabilitación o Mejora,1685,m2,Si,Rollos De Malla Truckson,"18",heterogeneo_asf,Elementos no asfalticos,-72.3179374564924,10.3360776828375,0.788891353369176,"2",./1.png
