X,Y,fid,corrltv,prd_fsc,ciclo,entidad,redi,estado,municip,parroqu,categor,subctgr,mnt_pry,nmbr_pr,dscrpc_,estts_p,huso_nc,hus_fnl,crd_nr_,crd_st_,tipo_br,fech_nc,cotizcn,mnt_pr_,cntdd__,undd_br,mtrls_c,mtrl_tp,mtrl_cn,clsfccn,motivo,clasi2,costo,atipics,Longitd,Latitud,icon_url
-72.25157920715,8.22698124205979,"11",PI-2022-C-13-E-357-00038602,"2022",C13,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,García De Hevia,Capital García De Hevia,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",227506.35,"rehabilitación de la av. aeropuerto desde el portal entrada a la fría hasta la carrera 00, parroquia la fría, municipio garcía de hevia, estado tachira.","el proyecto contempla la colocación de material tipo rc2 mezcla asfaltica en caliente para la colocación en sitio de 461 toneladas,  para beneficiar a una población de 48.475.",Culminado,"18","18","907631","803098",Rehabilitación o Mejora,2022/11/17,9.77,23286.2180143296,691,m2,Si,mezcla asfaltica iii (toneladas ),"461",heterogeneo_asf,Elementos no asfalticos,,,no,-72.25157920715,8.22698124205979,./0.png
-72.0479977898303,8.05596122851916,"12",PI-2022-C-3-E-140-00036482,"2022",C3,ALCALDÍA DE JOSÉ MARÍA VARGAS (EDO. TÁCHIRA),Los Andes,Táchira,José María Vargas,José María Vargas,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",77665.24,rehabilitación de la via troncal t0o7 desde el sector anatolio perez hasta el sector la escuela  de la aldea angostura del  municipio dr. jose maria vargas del estado tachira,"este proyecto contempla la rehabilitación de la via troncal too7 que comunica al cobre con la grita específicamente desde el sector anatolio perez hasta el sector la escuela de la aldea angostura del municipio jose maria vargas del estado tachira, este p",Culminado,"18","18","892736","825875",Rehabilitación o Mejora,2022/03/28,4.36,17813.128440367,200,Metros,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.0479977898303,8.05596122851916,./0.png
-72.2473006756842,8.20298107392284,"13",PI-2022-C-4-E-112-00036937,"2022",C4,ALCALDÍA DE GARCÍA DE HEVIA (EDO. TÁCHIRA),Los Andes,Táchira,García De Hevia,Capital García De Hevia,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",333227.4,"rehabilitacion y embellecimiento con asfaltado en la troncal 001 desde la cruz de la mision hasta la calle 04 del sector los cedros, la fria municipio garcia de hevia, la fria estado tachira",rehabilitacion de 350 mts. de la vialidad troncal 001 con mezcla asfaltica en caliente para colocacion carpeta corrida con maquinaria pesada,Culminado,"18","18","907575","803285",Rehabilitación o Mejora,2022/05/02,4.5,74050.5333333333,350,Metros,Si,mezcla asfaltica caliente (ton),"770",heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2473006756842,8.20298107392284,./0.png
-72.4320577897597,7.79301972897213,"14",PI-2022-C-3-E-52-00036578,"2022",C3,ALCALDÍA DE BOLÍVAR (EDO. TÁCHIRA),Los Andes,Táchira,Bolívar,Bolívar,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",39441.37,"bacheo de la capa asfaltica de la vía principal de san antonio del tachira desde la alcabala de peracal hasta palotal, del municipio bolívar del estado tachira",colocación de 20 toneladas de asfalto caliente para el bacheo en la vía principal de san antonio del tachira,Culminado,"18","18","869360","781982",Rehabilitación o Mejora,2022/03/28,4.36,9046.18577981651,20,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.4320577897597,7.79301972897213,./0.png
-72.5578418487911,10.0599344222867,"15",PI-2022-C-4-E-172-00036947,"2022",C4,ALCALDÍA DE MACHIQUES DE PERIJÁ (EDO. ZULIA),Occidental,Zulia,Machiques De Perijá,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),228514,"rehabilitación de la vialidad con bacheo, en la av. santa teresa entre; calle la marina y la florida. sector casco central. parroquia libertad, municipio machiques de perija, edo zulia.","bacheo de la vialidad, utilizando mezcla asfaltica en caliente tipo iii (120-150), con rc-250 .",Culminado,"18","18","1112977","768796",Rehabilitación o Mejora,2022/05/02,4.5,50780.8888888889,230,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.5578418487911,10.0599344222867,./0.png
-72.2567018788492,7.86343650419453,"16",PI-2022-C-4-E-357-00036772,"2022",C4,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Guásimos,Capital Guásimos,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",1335848.99,"rehabilitación de carpeta asfaltica desde la fabrica nacional de cementos hacia copa de oro, parroquia capital, municipio guasimos estado tachira
","se prevé la ejecución de una serie de actividades enmarcadas en la rehabilitación de la carpeta asfaltica de 0.30 kilómetros de 
vialidad, entre las cuales destacan: bacheo localizado con mezclas asfalticas en caliente, beneficiando una población de 
4",Culminado,"18","18","867068","803415",Rehabilitación o Mejora,2022/04/21,4.43,301546.047404063,300,Metros,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2567018788492,7.86343650419453,./0.png
-72.2175164241272,7.82325159634729,"17",PI-2022-C-4-E-68-00036941,"2022",C4,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),29985.7,"bacheo en calle 14 desde aldea universitaria hasta la carrera 16, municipio cardenas, estado tachira",colocación de 50 toneladas de mezcla asfaltica en caliente en bacheo en 1054 ml de calle utilizando rc2 y equipo liviano,Culminado,"18","18","866469","806309",Rehabilitación o Mejora,2022/05/02,4.5,6663.48888888889,1054,Metros,Si,mezcla  asfaltica en  caliente,"50",heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2175164241272,7.82325159634729,./0.png
-72.221756963912,7.81635849300718,"18",PI-2022-C-4-E-68-00036944,"2022",C4,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),29999.8,"bacheo en calle 7  de tariba desde avenida 1 hasta barrio zulia, municipio cardenas , estado tachira",colocación de 50 toneladas de mezcla asfaltica en caliente en bacheo en 900 mil de la calle utilizando rc2 y equipo liviano,Culminado,"18","18","865826","806009",Rehabilitación o Mejora,2022/05/02,4.5,6666.62222222222,900,Metros,Si,mezcla  asfaltica en  caliente,"50",heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.221756963912,7.81635849300719,./0.png
-72.1844507059194,7.85367900817469,"19",PI-2022-C-6-E-15-00037500,"2022",C6,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Los Andes,Táchira,Andrés Bello,Capital Andrés Bello,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),98730.16,rehabilitacion de la capa asfaltica de la avenida cristobal mendoza de cordero municipio andres bello del estado tachira,"se realizara bacheo, demarcacion y señalizacion de la avenida cristobal mendoza de cordero en un tramo de 1500 metros",Culminado,"18","18","869469","812115",Rehabilitación o Mejora,2022/06/09,5.25,18805.7447619048,1500,Metros,Si,asfalto caliente,"20",heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.1844507059194,7.85367900817469,./0.png
-72.1845509166433,7.85359836437869,"20",PI-2022-C-6-E-15-00037503,"2022",C6,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Los Andes,Táchira,Andrés Bello,Capital Andrés Bello,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),82915.25,rehabilitacion de la capa asfaltica de la calle principal de cordero municipio andres bello del estado tachira,"se realizara bacheo, demarcacion y señalizacion enla calle principal de cordero en un tramo de 1000 metros",Culminado,"18","18","869627","811879",Rehabilitación o Mejora,2022/06/09,5.25,15793.380952381,1000,Metros,Si,asfalto caliente,"16",heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.1845509166433,7.85359836437869,./0.png
-72.1841590728909,7.85393003468329,"21",PI-2022-C-6-E-15-00037507,"2022",C6,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Los Andes,Táchira,Andrés Bello,Capital Andrés Bello,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),71854.59,"rehabilitacion de la capa asfaltica de la avenida bolivar de cordero, municipio andres bello del estado tachira","se relizara bacheo, demarcacion y señalizacion de la avenida bolivar de cordero en un tramo de 800 metros",Culminado,"18","18","869665","811216",Rehabilitación o Mejora,2022/06/09,5.25,13686.5885714286,800,Metros,Si,asfalto caliente,"18",heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.1841590728909,7.85393003468329,./0.png
-72.441166537175,7.86686103946818,"22",PI-2022-C-8-E-226-00037770,"2022",C8,ALCALDÍA DE PEDRO MARÍA UREÑA (EDO. TÁCHIRA),Los Andes,Táchira,Pedro María Ureña,Pedro María Ureña,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),167670,"mantenimiento y mejoramiento de la vialidad desde el arco de tienditas hasta, la vía colon con calle 7 del municipio pedro maría ureña estado tachira.","la ejecución de esta obra tendra como objetivo principal, la recuperación de la malla vial de las vías de acceso y salida realizando trabajos de bacheo desde el arco de tienditas hasta, la vía colon con calle 7 del municipio pedro maría ureña estado tach",Culminado,"18","18","876963","783065",Rehabilitación o Mejora,2022/07/14,5.66,29623.6749116608,13800,Metros,Si,asfalto,"450",heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.441166537175,7.86686103946818,./0.png
-72.3607334500843,7.70093443167763,"23",PI-2022-C-9-E-150-00037974,"2022",C9,ALCALDÍA DE JUNÍN (EDO. TÁCHIRA),Los Andes,Táchira,Junín,Junín,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),351600,"rehabilitacion y mejora de la capa asfaltica de la av 13 sector san martin, de la parroquia junin municipio junin",rehabilitacion y mejora de 265 metros de capa asfaltica de la av 13 sector san martin desde el puente de san diego hasta el mercado los parrilleros,Culminado,"18","18","851950","791295",Rehabilitación o Mejora,2022/08/16,5.96,58993.288590604,1325,m2,Si,asfalto caliente por tonelada,"750",carpeta,Elementos no asfalticos,,78.6577181208054,no,-72.3607334500843,7.70093443167763,./0.png
-72.2635593045018,8.03326904162378,"24",PI-2022-C-9-E-38-00038042,"2022",C9,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),71106,"mejoramiento de vialidad. sector el centro, calle 5. tramo comprendido desde la carrera 4 hasta la carrera 13. san juan de colón, municipio ayacucho.","el proyecto consiste en: remoción de capa asfaltica. compra y colocación de 150 toneladas de asfalto caliente, equivalente a 65.34 m3. compra de 225 litros de rc-250. cancelación de trece fletes para el traslado del material asfaltico.  para alcanzar la",Culminado,"18","18","888441","802355",Rehabilitación o Mejora,2022/08/16,5.96,11930.5369127517,544.5,m2,Si,asfalto caliente (toneladas),"150",carpeta,Elementos no asfalticos,,79.5369127516779,no,-72.2635593045018,8.03326904162378,./0.png
-72.2488216490267,8.0436879246656,"25",PI-2022-C-9-E-38-00038051,"2022",C9,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),140423.3,"mejoramiento de vialidad. sector sesquicentenaria, carrera a1. tramo comprendido desde la avenida universidad hasta la calle a2. san juan de colón, municipio ayacucho.","el proyecto consiste en: nivelación, replanteo de terreno y colocación de pavimento asfaltico. compra y colocación de 300 toneladas de asfalto caliente, equivalente a 130.68 m3. compra de 450 litros de rc-250. cancelación de veinticinco fletes para el tr",Culminado,"18","18","890121","803448",Rehabilitación o Mejora,2022/08/16,5.96,23560.9563758389,1089,m2,Si,asfalto caliente (toneladas),"300",carpeta,Elementos no asfalticos,,78.5365212527964,no,-72.2488216490267,8.0436879246656,./0.png
-72.2501797573835,8.04797079674761,"26",PI-2022-C-9-E-38-00038054,"2022",C9,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),94212,"mejoramiento de vialidad. barrio ramón j. velasquez. calle francisco de paula reina. tramo comprendido desde la carrera regina de velasquez hasta la carrera 3. san juan de colón, municipio ayacucho.","el proyecto consiste en: remoción de capa asfaltica. compra y colocación de 200 toneladas de asfalto caliente, equivalente a 87.48 m3. compra de  300 litros de rc-250. cancelación de dieciséis fletes para el traslado del material asfaltico.  para alcanza",Culminado,"18","18","890554","803246",Rehabilitación o Mejora,2022/08/16,5.96,15807.3825503356,729,m2,Si,asfalto caliente (toneladas),"200",carpeta,Elementos no asfalticos,,79.0369127516779,no,-72.2501797573834,8.04797079674761,./0.png
-72.2679132539267,8.03422867189034,"27",PI-2022-C-9-E-38-00038056,"2022",C9,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),48346.32,"mejoramiento vial de la carrera a en el tramo comprendido desde  la calle 3 hasta la calle 4 del  sector la floresta, parroquia  san juan de colón, municipio ayacucho.","el proyecto consiste en: remoción de capa asfaltica. compra y colocación de 100 toneladas de asfalto caliente, equivalente a 43.74 m3. compra de 169 litros de rc-250. cancelación de ocho fletes para el traslado del material asfaltico.  para alcanzar la m",Culminado,"18","18","889121","801287",Rehabilitación o Mejora,2022/08/16,5.96,8111.79865771812,364.5,m2,Si,asfalto caliente (toneladas),"100",carpeta,Elementos no asfalticos,,81.1179865771812,no,-72.2679132539267,8.03422867189034,./0.png
-72.2803479463524,7.64132837287706,"28",PI-2023-C-10-E-83-00039630,"2023",C10,ALCALDÍA DE CÓRDOBA (EDO. TÁCHIRA),Los Andes,Táchira,Córdoba,Capital Córdoba,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),1816000,rehabilitación de vialidad (bacheo asfalto caliente) en  el sector  casco central calle  3 hasta la  calle 16 de santa ana municipio córdoba estado tachira,"reparación de de carpetas de asfalto en la carpeta subyacente deteriorada con asfalto caliente, colocada con mano de obra calificada, empleando maquinaria casco central de la calle 3 hasta la calle 16 entre carreras  0 y 9",Culminado,"18","18","846340","801154",Rehabilitación o Mejora,2023/06/09,26.95,67384.0445269017,1200,m2,Si,asfalto caliente toneladas,"300",bacheo,Elementos no asfalticos,,224.613481756339,no,-72.2803479463524,7.64132837287706,./0.png
-72.1808507698058,7.86617738694521,"29",PI-2023-C-11-E-357-00039745,"2023",C11,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Andrés Bello,Capital Andrés Bello,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),2528383.12,"i etapa, rehabilitación integral de carpeta asfaltica en frio en el sector monte carmelo, parroquia capital, municipio andrés bello, estado tachira.","el proyecto consiste en la rehabilitación de 10.500 m2 de la carpeta de rodamiento colocando una capa asfaltica de espesor variable,  aproximadamente 1270 toneladas de asfalto frio  beneficiando una población de 3000 habitantes.",Culminado,"18","18","870930","810695",Rehabilitación o Mejora,2023/06/27,27.65,91442.4274864376,10500,m2,Si,asfalto frio (toneladas),"1270",heterogeneo_asf,Elementos no asfalticos,,,no,-72.1808507698058,7.86617738694521,./0.png
-72.2281757533235,7.81434966096815,"30",PI-2023-C-12-E-68-00039932,"2023",C12,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),560400,"rehabilitacion a traves de bacheo de la calle principal del sector las margaritas desde el paseo los artistas hasta los maizales, municipio cardenas, estado tachira","comprende la colocacion de aproximadamente 200 toneladas de asfalto caliente con rc2 y maquinaria especializada, en forma de bacheo sectorizado, y a traves los 10500m2 de la vialidad principal de esta comunidad de las margaritas",Culminado,"18","18","865478","804382",Rehabilitación o Mejora,2023/07/19,28.81,19451.5793127386,10500,m2,Si,mezcla asfaltica en caliente,"180",bacheo,Elementos no asfalticos,,108.064329515215,no,-72.2281757533235,7.81434966096815,./0.png
-72.1943898339222,7.65285814681109,"31",PI-2023-C-2-E-357-00038770,"2023",C2,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Torbes,Capital Torbes,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),3788225.06,"rehabilitación de la vía que conduce a la población del palmar de la cope, municipio torbes, parroquia capital, estado tachira.","el proyecto consiste en la rehabilitación de 1500 m2, sustitución de 2 alcantarillas, construcción de cunetas, construcción de un sumidero,reparación de una falla de borde y colocación de mezcla asfaltica en caliente en la vía que conduce al palmar de la",Culminado,"18","18","847443","809846",Rehabilitación o Mejora,2023/02/17,24.34,155637.841413311,1500,m2,Si,mezcla asfaltica en caliente ton,"200",heterogeneo_asf,Por descripción,,,no,-72.1943898339222,7.65285814681109,./0.png
-72.3182361543569,10.3288340496679,"32",PI-2023-C-5-E-249-00039098,"2023",C5,ALCALDÍA DE ROSARIO DE PERIJÁ (EDO. ZULIA),Occidental,Zulia,Rosario De Perijá,El Rosario,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),1557807.79,"reasfaltado de la vía principal del sector san andrés (calle 19), tramo comprendido entre la av. 25 (dabajuro) y av. 4, del sector san andrés, villa del rosario, parroquia el rosario, municipio rosario de perija, estado zulia.","actualmente la vía principal (calle 19), del sector san andrés, presenta un deterioro general de la capa asfaltico, debido a ondulaciones , baches, deterioro general con piel de cocodrilo, grietas abundantes y desgastes del pavimento, por lo cual se prop",Culminado,"18","18","1143645","793709",Rehabilitación o Mejora,2023/03/21,24.18,64425.4669148056,4320,m2,Si,mezcla asfaltica (ton),"596",carpeta,Elementos no asfalticos,,108.096420997996,no,-72.3182361543569,10.3288340496679,./0.png
-72.2543604855621,8.03696646112951,"33",PI-2023-C-7-E-38-00039244,"2023",C7,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),220000,"mejoramiento vial de la carrera 10 en el tramo comprendido desde la calle 11b hasta la calle 12 del sector palma paraíso, san juan de colón, municipio ayacucho.","el proyecto consiste en: remoción de capa asfaltica. compra y colocación de 100 toneladas de asfalto caliente, equivalente a 43.47 m3. compra de 120 litros de rc-250. cancelación de siete fletes para el traslado del material asfaltico. para alcanzar la m",Culminado,"18","18","889147","802487",Rehabilitación o Mejora,2023/04/21,24.59,8946.72631150874,400,m2,Si,asfalto caliente (toneladas),"100",carpeta,Elementos no asfalticos,,89.4672631150874,no,-72.2543604855621,8.03696646112951,./0.png
-72.2600178045879,8.02741752718104,"34",PI-2023-C-7-E-38-00039250,"2023",C7,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),395000,"mejoramiento vial de la calle 2 en el tramo comprendido desde la carrera 11 hasta la carrera 12 del sector el topón, san juan de colón, municipio ayacucho.","el proyecto consiste en: remoción de capa asfaltica. compra y colocación de 180 toneladas de asfalto caliente, equivalente a 78.26 m3. compra de 200 litros de rc-250. cancelación de trece fletes para el traslado del material asfaltico. para alcanzar la m",Aprobado,"18","18","888277","802119",Rehabilitación o Mejora,2023/04/21,24.59,16063.4404229362,760,m2,Si,asfalto caliente (toneladas),"180",carpeta,Elementos no asfalticos,,89.2413356829786,no,-72.2600178045879,8.02741752718104,./0.png
